Name,AREA,AnydoTag,Archivos multimedia,BLOQUE,C-TEXT,Fórmula,ID,Nombre,Rollup,TITULO,Tags,URL
"C242-MAS (https://www.notion.so/C242-MAS-124622cf315b8029b7fcf68d1f01c80b?pvs=21) ",https://www.notion.so/2e8622cf315b80aeaae0ff6e7ada9d85,,,@B24-DOC  (https://www.notion.so/2e8622cf315b805ba2b1f21de14f37e0?pvs=21),,@@C242-MAS,,,,,,
"C243-POS (https://www.notion.so/C243-POS-124622cf315b80a29ccec5e046ea40b4?pvs=21) ",https://www.notion.so/2e8622cf315b80aeaae0ff6e7ada9d85,,,@B24-DOC  (https://www.notion.so/2e8622cf315b805ba2b1f21de14f37e0?pvs=21),,@@C243-POS,,,,,,
"C241-GRA (https://www.notion.so/C241-GRA-124622cf315b809dab20f4a6955967d5?pvs=21) ",https://www.notion.so/2e8622cf315b80aeaae0ff6e7ada9d85,,,@B24-DOC  (https://www.notion.so/2e8622cf315b805ba2b1f21de14f37e0?pvs=21),,@@C241-GRA,,,,,,
"C240 (https://www.notion.so/C240-2a5622cf315b81a3b778c336ef4862c6?pvs=21) ",https://www.notion.so/2e8622cf315b80aeaae0ff6e7ada9d85,,,@B24-DOC  (https://www.notion.so/2e8622cf315b805ba2b1f21de14f37e0?pvs=21),,@@C240,,,,,,
"C200 (https://www.notion.so/C200-2a5622cf315b81fbbfd4c8cb79b6133c?pvs=21) ",,,,,,@@C200,,,,,,
"C139-REV (https://www.notion.so/C139-REV-125622cf315b80c3902fef0df187c089?pvs=21) ",https://www.notion.so/2e8622cf315b809da630f86db82ee5d0,,,@B13-PUB  (https://www.notion.so/2e8622cf315b80dbb271c69df3610ef8?pvs=21),,@@C139-REV,,,,,,
"C138-CON (https://www.notion.so/C138-CON-125622cf315b80699a81e6fd5ca7645a?pvs=21) ",https://www.notion.so/2e8622cf315b809da630f86db82ee5d0,,,@B13-PUB  (https://www.notion.so/2e8622cf315b80dbb271c69df3610ef8?pvs=21),,@@C138-CON,,,,,,
"C137-ART (https://www.notion.so/C137-ART-125622cf315b80678362d87381c1027a?pvs=21) ",https://www.notion.so/2e8622cf315b809da630f86db82ee5d0,,,@B13-PUB  (https://www.notion.so/2e8622cf315b80dbb271c69df3610ef8?pvs=21),,@@C137-ART,,,,,,
"C130 (https://www.notion.so/C130-2a5622cf315b8113ad29d8fab027f7df?pvs=21) ",https://www.notion.so/2e8622cf315b809da630f86db82ee5d0,,,@B13-PUB  (https://www.notion.so/2e8622cf315b80dbb271c69df3610ef8?pvs=21),,@@C130,,,,,,
"C126-DIR (https://www.notion.so/C126-DIR-131622cf315b8025b9fcdbfaa2b930b5?pvs=21) ",https://www.notion.so/2e8622cf315b809da630f86db82ee5d0,,,@B12-LAB  (https://www.notion.so/2e8622cf315b8065ab78dbeaebd508b7?pvs=21),,@@C126-DIR,,,,,,
"C125-EXP (https://www.notion.so/C125-EXP-124622cf315b800e99b3e23937c24b3f?pvs=21) ",https://www.notion.so/2e8622cf315b809da630f86db82ee5d0,,,@B12-LAB  (https://www.notion.so/2e8622cf315b8065ab78dbeaebd508b7?pvs=21),,@@C125-EXP,,,,,,
"C124-PRY (https://www.notion.so/C124-PRY-124622cf315b80e79019f5805d7d197d?pvs=21) ",https://www.notion.so/2e8622cf315b809da630f86db82ee5d0,,,@B12-LAB  (https://www.notion.so/2e8622cf315b8065ab78dbeaebd508b7?pvs=21),,@@C124-PRY,,,,,,
" C120 (https://www.notion.so/C120-2a5622cf315b8114acc9c4e06f22ea97?pvs=21) ",https://www.notion.so/2e8622cf315b809da630f86db82ee5d0,,,@B12-LAB  (https://www.notion.so/2e8622cf315b8065ab78dbeaebd508b7?pvs=21),,@ @C120,,,,,,
" C113-CAT (https://www.notion.so/C113-CAT-117622cf315b80d9921dc55d89fa6659?pvs=21) ",https://www.notion.so/2e8622cf315b809da630f86db82ee5d0,,,@B11-CVT  (https://www.notion.so/2e8622cf315b80f0a7c4f21290086b1a?pvs=21),,@ @C113-CAT,,,,,,
" C112-ACR (https://www.notion.so/C112-ACR-117622cf315b80cda1abe520c662a294?pvs=21) ",https://www.notion.so/2e8622cf315b809da630f86db82ee5d0,,,@B11-CVT  (https://www.notion.so/2e8622cf315b80f0a7c4f21290086b1a?pvs=21),,@ @C112-ACR,,,,,,
"C111-REP (https://www.notion.so/C111-REP-117622cf315b80c7b417e9f977937df2?pvs=21) ",https://www.notion.so/2e8622cf315b809da630f86db82ee5d0,,,@B11-CVT  (https://www.notion.so/2e8622cf315b80f0a7c4f21290086b1a?pvs=21),,@@C111-REP,,,,,,
"C110 (https://www.notion.so/C110-2a5622cf315b8139b767ecad14312b76?pvs=21) ",,,,,,@@C110,,,,,,
" C100 (https://www.notion.so/C100-2a5622cf315b81728d27f5a65cfe2459?pvs=21) ",,,,,,@ @C100,,,,,,
"C000 (https://www.notion.so/C000-2a5622cf315b8152979cfb9caa5ea547?pvs=21) ",,,,,,@@C000,,,,,,
